辞書,文境界,書字形（＝表層形）,語彙素,語種,書字形(基本形),語形(基本形),語彙素ID
,I,対し,対する,混,対する,タイスル,21823
,I,て,て,和,て,テ,24874
,I,、,、,記号,、,,24
,I,積極,積極,漢,積極,セッキョク,20177
,I,的,的,漢,的,テキ,25076
,I,な,だ,和,だ,ダ,22916
,I,姿勢,姿勢,漢,姿勢,シセイ,15362
,I,を,を,和,を,ヲ,41407
,I,示し,示す,和,示す,シメス,15789
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,4,四,和,4,ヨン,39551
,I,8,八,漢,8,ハチ,29802
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,選,選,漢,選,セン,20390
,I,の,の,和,の,ノ,28989
,I,出馬,出馬,漢,出馬,シュツバ,16407
,I,会見,会見,漢,会見,カイケン,5692
,I,で,で,和,で,デ,25518
,I,も,も,和,も,モ,37562
,I,、,、,記号,、,,24
,I,メキシコ,メキシコ-Mexico,固,メキシコ,メキシコ,37369
,I,から,から,和,から,カラ,7219
,I,やっ,遣る,和,やる,ヤル,38541
,I,て,て,和,て,テ,24874
,I,くる,来る,和,くる,クル,10518
,I,不法,不法,漢,不法,フホウ,32988
,I,入国,入国,漢,入国,ニュウコク,28531
,I,者,者,漢,者,シャ,15852
,I,たち,達,和,たち,タチ,22373
,I,が,が,和,が,ガ,7889
,I,麻薬,麻薬,漢,麻薬,マヤク,36015
,I,と,と,和,と,ト,25826
,I,犯罪,犯罪,漢,犯罪,ハンザイ,30362
,I,を,を,和,を,ヲ,41407
,I,持ち込ん,持ち込む,和,持ち込む,モチコム,37761
,I,で,て,和,で,デ,24874
,I,いる,居る,和,いる,イル,2585
,I,と,と,和,と,ト,25826
,I,の,の,和,の,ノ,28989
,I,見解,見解,漢,見解,ケンカイ,11283
,I,を,を,和,を,ヲ,41407
,I,述べ,述べる,和,述べる,ノベル,29195
,I,、,、,記号,、,,24
,I,メキシコ,メキシコ-Mexico,固,メキシコ,メキシコ,37369
,I,と,と,和,と,ト,25826
,I,の,の,和,の,ノ,28989
,I,国境,国境,漢,国境,コッキョウ,12788
,I,沿い,沿い,和,沿い,ソイ,20930
,I,に,に,和,に,ニ,28178
,I,国境,国境,漢,国境,コッキョウ,12788
,I,の,の,和,の,ノ,28989
,I,壁,壁,和,壁,カベ,7035
,I,を,を,和,を,ヲ,41407
,I,造り,作る,和,造る,ツクル,24562
,I,、,、,記号,、,,24
,I,その,其の,和,その,ソノ,21394
,I,建設,建設,漢,建設,ケンセツ,11373
,I,費,費,漢,費,ヒ,31105
,I,を,を,和,を,ヲ,41407
,I,メキシコ,メキシコ-Mexico,固,メキシコ,メキシコ,37369
,I,に,に,和,に,ニ,28178
,I,払わ,払う,和,払う,ハラウ,30191
,I,せる,せる,和,せる,セル,20355
,I,と,と,和,と,ト,25826
,I,発言,発言,漢,発言,ハツゲン,29917
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,4,四,和,4,ヨン,39551
,I,9,九,漢,9,キュウ,8929
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,国境,国境,漢,国境,コッキョウ,12788
,I,線,線,漢,線,セン,20386
,I,に,に,和,に,ニ,28178
,I,壁,壁,和,壁,カベ,7035
,I,が,が,和,が,ガ,7889
,I,必要,必要,漢,必要,ヒツヨウ,31473
,I,だ,だ,和,だ,ダ,22916
,I,と,と,和,と,ト,25826
,I,いう,言う,和,いう,ユウ,1571
,I,主張,主張,漢,主張,シュチョウ,16338
,I,に,に,和,に,ニ,28178
,I,つい,つく,和,つく,ツク,24536
,I,て,て,和,て,テ,24874
,I,メキシコ,メキシコ-Mexico,固,メキシコ,メキシコ,37369
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,報道,報道,漢,報道,ホウドウ,34535
,I,官,官,漢,官,カン,7457
,I,の,の,和,の,ノ,28989
,I,エドゥアルド,エドアルド-Eduardo,固,エドゥアルド,エドゥアルド,3924
,I,・,・,記号,・,,44
,I,サンチェス,サンチェス,固,サンチェス,サンチェス,14630
,I,は,は,和,は,ハ,29321
,I,ブルームバーグ,ブルームバーグ-Bloomberg,固,ブルームバーグ,ブルームバーグ,33514
,I,の,の,和,の,ノ,28989
,I,電話,電話,漢,電話,デンワ,25816
,I,インタビュー,インタビュー-interview,外,インタビュー,インタビュー,2771
,I,で,で,和,で,デ,25518
,I,「,「,記号,「,,33
,I,それ,其れ,和,それ,ソレ,21461
,I,は,は,和,は,ハ,29321
,I,もちろん,勿論,漢,もちろん,モチロン,37785
,I,間違っ,間違う,和,間違う,マチガウ,35763
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,」,」,記号,」,,34
,I,「,「,記号,「,,33
,I,そう,そう,和,そう,ソウ,20935
,I,いう,言う,和,いう,ユウ,1571
,I,考え,考え,和,考え,カンガエ,7506
,I,は,は,和,は,ハ,29321
,I,メキシコ,メキシコ-Mexico,固,メキシコ,メキシコ,37369
,I,が,が,和,が,ガ,7889
,I,果たし,果たす,和,果たす,ハタス,29777
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,役割,役割,混,役割,ヤクワリ,38212
,I,を,を,和,を,ヲ,41407
,I,ものすごく,物凄い,和,ものすごい,モノスゴイ,37895
,I,無視,無視,漢,無視,ムシ,37087
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,い,居る,和,いる,イル,2585
,I,て,て,和,て,テ,24874
,I,、,、,記号,、,,24
,I,そんな,そんな,和,そんな,ソンナ,21510
,I,こと,事,和,こと,コト,12836
,I,を,を,和,を,ヲ,41407
,I,主張,主張,漢,主張,シュチョウ,16338
,I,する,為る,和,する,スル,19537
,I,候補,候補,漢,候補,コウホ,12364
,I,者,者,漢,者,シャ,15852
,I,の,の,和,の,ノ,28989
,I,無,無,漢,無,ム,36989
,I,責任,責任,漢,責任,セキニン,20101
,I,さ,さ,和,さ,サ,13619
,I,を,を,和,を,ヲ,41407
,I,示す,示す,和,示す,シメス,15789
,I,もの,物,和,もの,モノ,37875
,I,だ,だ,和,だ,ダ,22916
,I,」,」,記号,」,,34
,I,と,と,和,と,ト,25826
,I,コメント,コメント-comment,外,コメント,コメント,13036
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,おり,居る,和,おる,オル,5360
,I,、,、,記号,、,,24
,I,その,其の,和,その,ソノ,21394
,I,費用,費用,漢,費用,ヒヨウ,31790
,I,を,を,和,を,ヲ,41407
,I,メキシコ,メキシコ-Mexico,固,メキシコ,メキシコ,37369
,I,に,に,和,に,ニ,28178
,I,負わ,負う,和,負う,オウ,4395
,I,せる,せる,和,せる,セル,20355
,I,と,と,和,と,ト,25826
,I,いう,言う,和,いう,ユウ,1571
,I,発言,発言,漢,発言,ハツゲン,29917
,I,に,に,和,に,ニ,28178
,I,対し,対する,混,対する,タイスル,21823
,I,て,て,和,て,テ,24874
,I,も,も,和,も,モ,37562
,I,「,「,記号,「,,33
,I,トランプ,トランプ-trump,外,トランプ,トランプ,26748
,I,の,の,和,の,ノ,28989
,I,発言,発言,漢,発言,ハツゲン,29917
,I,に,に,和,に,ニ,28178
,I,は,は,和,は,ハ,29321
,I,米国,米国,固,米国,ベイコク,34111
,I,の,の,和,の,ノ,28989
,I,現実,現実,漢,現実,ゲンジツ,11688
,I,に,に,和,に,ニ,28178
,I,つい,つく,和,つく,ツク,24536
,I,て,て,和,て,テ,24874
,I,の,の,和,の,ノ,28989
,I,知識,知識,漢,知識,チシキ,23524
,I,の,の,和,の,ノ,28989
,I,巨大,巨大,漢,巨大,キョダイ,9418
,I,な,だ,和,だ,ダ,22916
,I,欠如,欠如,漢,欠如,ケツジョ,11183
,I,が,が,和,が,ガ,7889
,I,反映,反映,漢,反映,ハンエイ,30317
,I,さ,為る,和,する,スル,19537
,I,れ,れる,和,れる,レル,40741
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,」,」,記号,」,,34
,I,「,「,記号,「,,33
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,に,に,和,に,ニ,28178
,I,いる,居る,和,いる,イル,2585
,I,メキシコ,メキシコ-Mexico,固,メキシコ,メキシコ,37369
,I,人,人,漢,人,ジン,18765
,I,は,は,和,は,ハ,29321
,I,熱意,熱意,漢,熱意,ネツイ,28865
,I,を,を,和,を,ヲ,41407
,I,持っ,持つ,和,持つ,モツ,37804
,I,て,て,和,て,テ,24874
,I,働い,働く,和,働く,ハタラク,29791
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,。,。,記号,。,,25
,I,彼,彼,和,彼,カレ,7330
,I,ら,等,和,ら,ラ,39572
,I,は,は,和,は,ハ,29321
,I,仕事,仕事,和,仕事,シゴト,15251
,I,を,を,和,を,ヲ,41407
,I,よく,良く,和,よく,ヨク,39182
,I,やっ,遣る,和,やる,ヤル,38541
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,」,」,記号,」,,34
,I,と,と,和,と,ト,25826
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,5,五,漢,5,ゴ,13327
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,],］,記号,],,59
,I,、,、,記号,、,,24
,I,負担,負担,漢,負担,フタン,32875
,I,に,に,和,に,ニ,28178
,I,応じ,応ずる,混,応ずる,オウズル,4453
,I,ない,ない,和,ない,ナイ,27438
,I,方針,方針,漢,方針,ホウシン,34473
,I,を,を,和,を,ヲ,41407
,I,示し,示す,和,示す,シメス,15789
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,が,が,和,が,ガ,7888
,I,、,、,記号,、,,24
,I,トランプ,トランプ-trump,外,トランプ,トランプ,26748
,I,は,は,和,は,ハ,29321
,I,現在,現在,漢,現在,ゲンザイ,11666
,I,まで,まで,和,まで,マデ,35891
,I,撤回,撤回,漢,撤回,テッカイ,25157
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,い,居る,和,いる,イル,2585
,I,ない,ない,和,ない,ナイ,27438
,I,。,。,記号,。,,25
,B,I,Ｉ,記号,I,アイ,81
,I,S,Ｓ,記号,S,エス,3819
,I,I,Ｉ,記号,I,アイ,81
,I,L,Ｌ,記号,L,エル,4109
,I,対策,対策,漢,対策,タイサク,21763
,I,[,［,記号,[,,58
,I,編集,編集,漢,編集,ヘンシュウ,34038
,I,],］,記号,],,59
,B,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,1,一,漢,1,イチ,2050
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,から,から,和,から,カラ,7219
,I,イスラーム,イスラム-Islam,外,イスラーム,イスラーム,1919
,I,過激,過激,漢,過激,カゲキ,6307
,I,派,派,漢,派,ハ,29329
,I,組織,組織,漢,組織,ソシキ,21295
,I,I,Ｉ,記号,I,アイ,81
,I,S,Ｓ,記号,S,エス,3819
,I,I,Ｉ,記号,I,アイ,81
,I,L,Ｌ,記号,L,エル,4109
,I,（,（,記号,（,,46
,I,イスラミック,,,,,　
,I,・,・,記号,・,,44
,I,ステート,ステート-state,外,ステート,ステート,19283
,I,）,）,記号,）,,49
,I,が,が,和,が,ガ,7889
,I,急速,急速,漢,急速,キュウソク,9039
,I,に,だ,和,だ,ダ,22916
,I,勢力,勢力,漢,勢力,セイリョク,20033
,I,を,を,和,を,ヲ,41407
,I,拡大,拡大,漢,拡大,カクダイ,6199
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,い,居る,和,いる,イル,2585
,I,た,た,和,た,タ,21642
,I,ため,為,和,ため,タメ,22686
,I,、,、,記号,、,,24
,I,トランプ,トランプ-trump,外,トランプ,トランプ,26748
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,は,は,和,は,ハ,29321
,I,、,、,記号,、,,24
,I,「,「,記号,「,,33
,I,I,Ｉ,記号,I,アイ,81
,I,S,Ｓ,記号,S,エス,3819
,I,I,Ｉ,記号,I,アイ,81
,I,L,Ｌ,記号,L,エル,4109
,I,あるいは,或いは,和,あるいは,アルイハ,1218
,I,、,、,記号,、,,24
,I,ISIL,,,,,　
,I,関連,関連,漢,関連,カンレン,7855
,I,国,国,漢,国,コク,12504
,I,から,から,和,から,カラ,7219
,I,の,の,和,の,ノ,28989
,I,入国,入国,漢,入国,ニュウコク,28531
,I,者,者,漢,者,シャ,15852
,I,に,に,和,に,ニ,28178
,I,つい,つく,和,つく,ツク,24536
,I,て,て,和,て,テ,24874
,I,身辺,身辺,漢,身辺,シンペン,17541
,I,調査,調査,漢,調査,チョウサ,24007
,I,を,を,和,を,ヲ,41407
,I,厳しく,厳しい,和,厳しい,キビシイ,8793
,I,する,為る,和,する,スル,19537
,I,」,」,記号,」,,34
,I,と,と,和,と,ト,25826
,I,表明,表明,漢,表明,ヒョウメイ,31779
,I,。,。,記号,。,,25
,I,最悪,最悪,漢,最悪,サイアク,13642
,I,の,の,和,の,ノ,28989
,I,ケース,ケース-case,外,ケース,ケース,11462
,I,に,に,和,に,ニ,28178
,I,備え,備える,和,備える,ソナエル,21378
,I,、,、,記号,、,,24
,I,対応,対応,漢,対応,タイオウ,21679
,I,できる,出来る,和,できる,デキル,25624
,I,制度,制度,漢,制度,セイド,19939
,I,の,の,和,の,ノ,28989
,I,成立,成立,漢,成立,セイリツ,20026
,I,を,を,和,を,ヲ,41407
,I,目指し,目指す,和,目指す,メザス,37392
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,5,五,漢,5,ゴ,13327
,I,1,一,漢,1,イチ,2050
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,複数,複数,漢,複数,フクスウ,32647
,I,の,の,和,の,ノ,28989
,I,世論,輿論,漢,世論,ヨロン,39540
,I,調査,調査,漢,調査,チョウサ,24007
,I,が,が,和,が,ガ,7889
,I,、,、,記号,、,,24
,I,相当,相当,漢,相当,ソウトウ,21137
,I,数,数,漢,数,スウ,18996
,I,の,の,和,の,ノ,28989
,I,ムスリム,ムスリム-Muslim,外,ムスリム,ムスリム,135003
,I,が,が,和,が,ガ,7889
,I,米国,米国,固,米国,ベイコク,34111
,I,人,人,漢,人,ジン,18765
,I,を,を,和,を,ヲ,41407
,I,憎ん,憎む,和,憎む,ニクム,28247
,I,で,て,和,で,デ,24874
,I,いる,居る,和,いる,イル,2585
,I,と,と,和,と,ト,25826
,I,いう,言う,和,いう,ユウ,1571
,I,結果,結果,漢,結果,ケッカ,11114
,I,を,を,和,を,ヲ,41407
,I,示し,示す,和,示す,シメス,15789
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,と,と,和,と,ト,25826
,I,述べ,述べる,和,述べる,ノベル,29195
,I,、,、,記号,、,,24
,I,「,「,記号,「,,33
,I,どう,どう,和,どう,ドウ,26969
,I,いう,言う,和,いう,ユウ,1571
,I,危険,危険,漢,危険,キケン,8422
,I,を,を,和,を,ヲ,41407
,I,意味,意味,漢,意味,イミ,2492
,I,する,為る,和,する,スル,19537
,I,の,の,和,の,ノ,28990
,I,か,か,和,か,カ,5568
,I,理解,理解,漢,理解,リカイ,39891
,I,できる,出来る,和,できる,デキル,25624
,I,まで,まで,和,まで,マデ,35891
,I,この,此の,和,この,コノ,12905
,I,国,国,和,国,クニ,10282
,I,は,は,和,は,ハ,29321
,I,、,、,記号,、,,24
,I,聖戦,聖戦,漢,聖戦,セイセン,19875
,I,しか,しか,和,しか,シカ,15047
,I,信じ,信ずる,混,信じる,シンジル,17410
,I,ず,ず,和,ぬ,ヌ,19587
,I,道理,道理,漢,道理,ドウリ,27176
,I,を,を,和,を,ヲ,41407
,I,わきまえ,弁える,和,わきまえる,ワキマエル,41201
,I,ず,ず,和,ぬ,ヌ,19587
,I,人命,人命,漢,人命,ジンメイ,18828
,I,を,を,和,を,ヲ,41407
,I,尊重,尊重,漢,尊重,ソンチョウ,21507
,I,し,為る,和,する,スル,19537
,I,ない,ない,和,ない,ナイ,27438
,I,連中,連中,漢,連中,レンチュウ,40806
,I,に,に,和,に,ニ,28178
,I,よる,因る,和,よる,ヨル,39521
,I,恐ろしい,恐ろしい,和,恐ろしい,オソロシイ,4988
,I,攻撃,攻撃,漢,攻撃,コウゲキ,12009
,I,の,の,和,の,ノ,28989
,I,被害,被害,漢,被害,ヒガイ,31162
,I,者,者,漢,者,シャ,15852
,I,に,に,和,に,ニ,28178
,I,なる,成る,和,なる,ナル,28061
,I,わけ,訳,和,わけ,ワケ,41224
,I,に,に,和,に,ニ,28178
,I,は,は,和,は,ハ,29321
,I,いか,行く,和,いく,イク,1713
,I,ない,ない,和,ない,ナイ,27438
,I,」,」,記号,」,,34
,I,と,と,和,と,ト,25826
,I,主張,主張,漢,主張,シュチョウ,16338
,I,する,為る,和,する,スル,19537
,I,など,など,和,など,ナド,27905
,I,警戒,警戒,漢,警戒,ケイカイ,10904
,I,心,心,漢,心,シン,17228
,I,を,を,和,を,ヲ,41407
,I,露わ,露わ,和,露わ,アラワ,1167
,I,に,だ,和,だ,ダ,22916
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,5,五,漢,5,ゴ,13327
,I,2,二,漢,2,ニ,28181
,I,],］,記号,],,59
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,5,五,漢,5,ゴ,13327
,I,3,三,漢,3,サン,14499
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,ムスリム,ムスリム-Muslim,外,ムスリム,ムスリム,135003
,I,系,系,漢,系,ケイ,10879
,I,夫妻,夫妻,漢,夫妻,フサイ,32728
,I,が,が,和,が,ガ,7889
,I,1,一,漢,1,イチ,2050
,I,4,四,和,4,ヨン,39551
,I,人,人,漢,人,ニン,28632
,I,を,を,和,を,ヲ,41407
,I,銃撃,銃撃,漢,銃撃,ジュウゲキ,18180
,I,し,為る,和,する,スル,19537
,I,殺害,殺害,漢,殺害,サツガイ,14262
,I,する,為る,和,する,スル,19537
,I,事件,事件,漢,事件,ジケン,17811
,I,が,が,和,が,ガ,7889
,I,起きる,起きる,和,起きる,オキル,4799
,I,と,と,和,と,ト,25825
,I,、,、,記号,、,,24
,I,イスラム,イスラム-Islam,外,イスラム,イスラム,1919
,I,教,教,漢,教,キョウ,9138
,I,徒,徒,漢,徒,ト,25829
,I,の,の,和,の,ノ,28989
,I,入国,入国,漢,入国,ニュウコク,28531
,I,を,を,和,を,ヲ,41407
,I,禁止,禁止,漢,禁止,キンシ,9646
,I,する,為る,和,する,スル,19537
,I,よう,様,漢,よう,ヨウ,39002
,I,に,だ,和,だ,ダ,22916
,I,提案,提案,漢,提案,テイアン,24934
,I,し,為る,和,する,スル,19537
,I,たり,たり,和,たり,タリ,22727
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,5,五,漢,5,ゴ,13327
,I,4,四,和,4,ヨン,39551
,I,],］,記号,],,59
,I,、,、,記号,、,,24
,I,一部,一部,漢,一部,イチブ,2116
,I,の,の,和,の,ノ,28989
,I,モスク,モスク-mosque,外,モスク,モスク,97081
,I,を,を,和,を,ヲ,41407
,I,閉鎖,閉鎖,漢,閉鎖,ヘイサ,33861
,I,さ,為る,和,する,スル,19537
,I,せ,せる,和,せる,セル,20355
,I,て,て,和,て,テ,24874
,I,ムスリム,ムスリム-Muslim,外,ムスリム,ムスリム,135003
,I,を,を,和,を,ヲ,41407
,I,監視,監視,漢,監視,カンシ,7608
,I,す,為る,和,す,ス,19537
,I,べき,べし,和,べし,ベシ,34137
,I,と,と,和,と,ト,25826
,I,提案,提案,漢,提案,テイアン,24934
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,いる,居る,和,いる,イル,2585
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,5,五,漢,5,ゴ,13327
,I,5,五,漢,5,ゴ,13327
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,就任,就任,漢,就任,シュウニン,16188
,I,から,から,和,から,カラ,7219
,I,わずか,僅か,和,わずか,ワズカ,41263
,I,1,一,漢,1,イチ,2050
,I,週間,週間,漢,週間,シュウカン,16075
,I,後,後,漢,後,ゴ,13330
,I,の,の,和,の,ノ,28989
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,1,一,漢,1,イチ,2050
,I,7,七,和,7,ナナ,27908
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,月,月,漢,月,ガツ,8121
,I,2,二,漢,2,ニ,28181
,I,7,七,和,7,ナナ,27908
,I,日,日,和,日,カ,5582
,I,、,、,記号,、,,24
,I,「,「,記号,「,,33
,I,外国,外国,漢,外国,ガイコク,7919
,I,テロリスト,テロリスト-terrorist,外,テロリスト,テロリスト,83513
,I,の,の,和,の,ノ,28989
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,入国,入国,漢,入国,ニュウコク,28531
,I,から,から,和,から,カラ,7219
,I,の,の,和,の,ノ,28989
,I,国家,国家,漢,国家,コッカ,12780
,I,の,の,和,の,ノ,28989
,I,保護,保護,漢,保護,ホゴ,34658
,I,（,（,記号,（,,46
,I,Protecting,,,,,　
,I, t,Ｔ,記号,t,ティー,24900
,I,h,Ｈ,記号,h,エイチ,3690
,I,e,Ｅ,記号,e,イー,2868
,I,Nation,,,,,　
,I,From,,,,,　
,I,Foreign,,,,,　
,I,Terrorist,,,,,　
,I,Entry,,,,,　
,I, I,Ｉ,記号,I,アイ,81
,I,n,Ｎ,記号,n,エヌ,3936
,I,t,Ｔ,記号,t,ティー,24900
,I,o,Ｏ,記号,o,オー,5486
,I, t,Ｔ,記号,t,ティー,24900
,I,h,Ｈ,記号,h,エイチ,3690
,I,e,Ｅ,記号,e,イー,2868
,I,United,,,,,　
,I,States,,,,,　
,I,）,）,記号,）,,49
,I,」,」,記号,」,,34
,I,と,と,和,と,ト,25826
,I,題し,題する,混,題する,ダイスル,23019
,I,た,た,和,た,タ,21642
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,令,令,漢,令,レイ,40554
,I,に,に,和,に,ニ,28178
,I,署名,署名,漢,署名,ショメイ,17061
,I,。,。,記号,。,,25
,I,これ,此れ,和,これ,コレ,13095
,I,に,に,和,に,ニ,28178
,I,より,因る,和,よる,ヨル,39521
,I,シリア,シリア-Syria,固,シリア,シリア,17139
,I,、,、,記号,、,,24
,I,イラク,イラク-Iraq,固,イラク,イラク,2541
,I,、,、,記号,、,,24
,I,イラン,イラン-Iran,固,イラン,イラン,2551
,I,、,、,記号,、,,24
,I,スーダン,スーダン-Sudan,固,スーダン,スーダン,19576
,I,、,、,記号,、,,24
,I,リビア,リビア-Libya,固,リビア,リビア,40083
,I,、,、,記号,、,,24
,I,ソマリア,ソマリア-Somalia,固,ソマリア,ソマリア,21428
,I,、,、,記号,、,,24
,I,イエメン,イエメン-Yemen,固,イエメン,イエメン,1592
,I,の,の,和,の,ノ,28989
,I,計,計,漢,計,ケイ,10884
,I,7,七,和,7,ナナ,27908
,I,か国,箇国,漢,か国,カコク,6330
,I,の,の,和,の,ノ,28989
,I,イスラム,イスラム-Islam,外,イスラム,イスラム,1919
,I,圏,圏,漢,圏,ケン,11251
,I,から,から,和,から,カラ,7219
,I,の,の,和,の,ノ,28989
,I,出身,出身,漢,出身,シュッシン,16364
,I,者,者,漢,者,シャ,15852
,I,の,の,和,の,ノ,28989
,I,米国,米国,固,米国,ベイコク,34111
,I,入国,入国,漢,入国,ニュウコク,28531
,I,を,を,和,を,ヲ,41407
,I,9,九,漢,9,キュウ,8929
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,日間,日間,混,日間,カカン,6022
,I,停止,停止,漢,停止,テイシ,24977
,I,、,、,記号,、,,24
,I,さらに,更に,和,さらに,サラニ,14449
,I,難民,難民,漢,難民,ナンミン,28168
,I,に,に,和,に,ニ,28178
,I,至っ,至る,和,至る,イタル,2038
,I,て,て,和,て,テ,24874
,I,は,は,和,は,ハ,29321
,I,1,一,漢,1,イチ,2050
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,日間,日間,混,日間,カカン,6022
,I,受け入れ,受け入れる,和,受け入れる,ウケイレル,3070
,I,全面,全面,漢,全面,ゼンメン,20894
,I,停止,停止,漢,停止,テイシ,24977
,I,と,と,和,と,ト,25826
,I,なっ,成る,和,なる,ナル,28061
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,5,五,漢,5,ゴ,13327
,I,6,六,漢,6,ロク,40932
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,1,一,漢,1,イチ,2050
,I,7,七,和,7,ナナ,27908
,I,年,年,漢,年,ネン,28927
,I,9,九,漢,9,キュウ,8929
,I,月,月,漢,月,ガツ,8121
,I,2,二,漢,2,ニ,28181
,I,4,四,和,4,ヨン,39551
,I,日,日,和,日,カ,5582
,I,、,、,記号,、,,24
,I,前回,前回,漢,前回,ゼンカイ,20774
,I,の,の,和,の,ノ,28989
,I,入国,入国,漢,入国,ニュウコク,28531
,I,禁止,禁止,漢,禁止,キンシ,9646
,I,令,令,漢,令,レイ,40554
,I,の,の,和,の,ノ,28989
,I,失効,失効,漢,失効,シッコウ,15495
,I,に,に,和,に,ニ,28178
,I,伴い,伴う,和,伴う,トモナウ,26662
,I,、,、,記号,、,,24
,I,新た,新た,和,新た,アラタ,1141
,I,に,だ,和,だ,ダ,22916
,I,北朝鮮,北朝鮮,固,北朝鮮,キタチョウセン,8626
,I,、,、,記号,、,,24
,I,ベネズエラ,ベネズエラ-Venezuela,固,ベネズエラ,ベネズエラ,34212
,I,、,、,記号,、,,24
,I,チャド,チャド-Chad,固,チャド,チャド,94365
,I,の,の,和,の,ノ,28989
,I,3,三,漢,3,サン,14499
,I,カ国,箇国,漢,カ国,カコク,6330
,I,の,の,和,の,ノ,28989
,I,外国,外国,漢,外国,ガイコク,7919
,I,人,人,漢,人,ジン,18765
,I,も,も,和,も,モ,37562
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,入国,入国,漢,入国,ニュウコク,28531
,I,を,を,和,を,ヲ,41407
,I,禁止,禁止,漢,禁止,キンシ,9646
,I,する,為る,和,する,スル,19537
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,令,令,漢,令,レイ,40554
,I,を,を,和,を,ヲ,41407
,I,出し,出す,和,出す,ダス,23145
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,6,六,漢,6,ロク,40932
,I,5,五,漢,5,ゴ,13327
,I,7,七,和,7,ナナ,27908
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,スーダン,スーダン-Sudan,固,スーダン,スーダン,19576
,I,は,は,和,は,ハ,29321
,I,除外,除外,漢,除外,ジョガイ,18661
,I,さ,為る,和,する,スル,19537
,I,れ,れる,和,れる,レル,40741
,I,、,、,記号,、,,24
,I,これ,此れ,和,これ,コレ,13095
,I,に,に,和,に,ニ,28178
,I,より,因る,和,よる,ヨル,39521
,I,全体,全体,漢,全体,ゼンタイ,20844
